state,district
Andaman and Nicobar Islands,Unknown
Andhra Pradesh,Anantapur
Andhra Pradesh,Chittoor
Andhra Pradesh,East Godavari
Andhra Pradesh,Guntur
Andhra Pradesh,Krishna
Andhra Pradesh,Kurnool
Andhra Pradesh,Prakasam
Andhra Pradesh,S.P.S. Nellore
Andhra Pradesh,Srikakulam
Andhra Pradesh,Visakhapatnam
Andhra Pradesh,West Godavari
Andhra Pradesh,Y.S.R. Kadapa
Arunachal Pradesh,Lohit
Assam,Unknown
Bihar,Arwal
Bihar,Aurangabad
Bihar,Banka
Bihar,Begusarai
Bihar,Bhagalpur
Bihar,Bhojpur
Bihar,Buxar
Bihar,East Champaran
Bihar,Gaya
Bihar,Gopalganj
Bihar,Jehanabad
Bihar,Kaimur
Bihar,Lakhisarai
Bihar,Madhepura
Bihar,Munger
Bihar,Nalanda
Bihar,Nawada
Bihar,Patna
Bihar,Rohtas
Bihar,Saran
Bihar,Siwan
Bihar,Vaishali
Chandigarh,Chandigarh
Chhattisgarh,Bilaspur
Chhattisgarh,Durg
Chhattisgarh,Korba
Chhattisgarh,Raipur
Chhattisgarh,Rajnandgaon
Delhi,Delhi
Goa,Unknown
Gujarat,Ahmedabad
Gujarat,Anand
Gujarat,Aravalli
Gujarat,Banaskantha
Gujarat,Bharuch
Gujarat,Bhavnagar
Gujarat,Botad
Gujarat,Chhota Udaipur
Gujarat,Dahod
Gujarat,Dang
Gujarat,Gandhinagar
Gujarat,Gir Somnath
Gujarat,Jamnagar
Gujarat,Kheda
Gujarat,Kutch
Gujarat,Mahisagar
Gujarat,Mehsana
Gujarat,Morbi
Gujarat,Narmada
Gujarat,Navsari
Gujarat,Panchmahal
Gujarat,Patan
Gujarat,Porbandar
Gujarat,Rajkot
Gujarat,Sabarkantha
Gujarat,Surat
Gujarat,Surendranagar
Gujarat,Tapi
Gujarat,Vadodara
Gujarat,Valsad
Himachal Pradesh,Chamba
Himachal Pradesh,Hamirpur
Himachal Pradesh,Kangra
Himachal Pradesh,Sirmaur
Himachal Pradesh,Solan
Himachal Pradesh,Una
Haryana,Ambala
Haryana,Bhiwani
Haryana,Charkhi Dadri
Haryana,Faridabad
Haryana,Fatehabad
Haryana,Gurugram
Haryana,Hisar
Haryana,Italians
Haryana,Jind
Haryana,Kaithal
Haryana,Karnal
Haryana,Kurukshetra
Haryana,Nuh
Haryana,Palwal
Haryana,Panchkula
Haryana,Panipat
Haryana,Rohtak
Haryana,Sirsa
Haryana,Sonipat
Haryana,Yamunanagar
Jharkhand,Bokaro
Jharkhand,Deoghar
Jharkhand,Dhanbad
Jharkhand,Garhwa
Jharkhand,Giridih
Jharkhand,Hazaribagh
Jharkhand,Koderma
Jharkhand,Palamu
Jharkhand,Ranchi
Jharkhand,Simdega
Jammu and Kashmir,Anantnag
Jammu and Kashmir,Bandipora
Jammu and Kashmir,Baramulla
Jammu and Kashmir,Budgam
Jammu and Kashmir,Ganderbal
Jammu and Kashmir,Jammu
Jammu and Kashmir,Kathua
Jammu and Kashmir,Kishtwar
Jammu and Kashmir,Kulgam
Jammu and Kashmir,Kupwara
Jammu and Kashmir,Pulwama
Jammu and Kashmir,Rajouri
Jammu and Kashmir,Ramban
Jammu and Kashmir,Samba
Jammu and Kashmir,Shopiyan
Jammu and Kashmir,Srinagar
Jammu and Kashmir,Udhampur
Karnataka,Bagalkote
Karnataka,Ballari
Karnataka,Belagavi
Karnataka,Bengaluru Rural
Karnataka,Bengaluru Urban
Karnataka,Bidar
Karnataka,Chikkaballapura
Karnataka,Chitradurga
Karnataka,Dakshina Kannada
Karnataka,Davanagere
Karnataka,Dharwad
Karnataka,Gadag
Karnataka,Kalaburagi
Karnataka,Kodagu
Karnataka,Mandya
Karnataka,Mysuru
Karnataka,Other State
Karnataka,Tumakuru
Karnataka,Udupi
Karnataka,Uttara Kannada
Karnataka,Vijayapura
Kerala,Alappuzha
Kerala,Ernakulam
Kerala,Idukki
Kerala,Kannur
Kerala,Kasaragod
Kerala,Kollam
Kerala,Kottayam
Kerala,Kozhikode
Kerala,Malappuram
Kerala,Palakkad
Kerala,Pathanamthitta
Kerala,Thiruvananthapuram
Kerala,Thrissur
Kerala,Wayanad
Ladakh,Kargil
Ladakh,Leh
Maharashtra,Ahmednagar
Maharashtra,Akola
Maharashtra,Amravati
Maharashtra,Aurangabad
Maharashtra,Beed
Maharashtra,Buldhana
Maharashtra,Chandrapur
Maharashtra,Dhule
Maharashtra,Gondia
Maharashtra,Hingoli
Maharashtra,Jalgaon
Maharashtra,Jalna
Maharashtra,Kolhapur
Maharashtra,Latur
Maharashtra,Mumbai
Maharashtra,Nagpur
Maharashtra,Nanded
Maharashtra,Nandurbar
Maharashtra,Nashik
Maharashtra,Osmanabad
Maharashtra,Other State
Maharashtra,Palghar
Maharashtra,Parbhani
Maharashtra,Pune
Maharashtra,Raigad
Maharashtra,Ratnagiri
Maharashtra,Sangli
Maharashtra,Satara
Maharashtra,Sindhudurg
Maharashtra,Solapur
Maharashtra,Thane
Maharashtra,Washim
Maharashtra,Yavatmal
Meghalaya,East Khasi Hills
Manipur,Unknown
Madhya Pradesh,Agar Malwa
Madhya Pradesh,Alirajpur
Madhya Pradesh,Barwani
Madhya Pradesh,Betul
Madhya Pradesh,Bhopal
Madhya Pradesh,Chhindwara
Madhya Pradesh,Dewas
Madhya Pradesh,Dhar
Madhya Pradesh,Dindori
Madhya Pradesh,Gwalior
Madhya Pradesh,Hoshangabad
Madhya Pradesh,Indore
Madhya Pradesh,Jabalpur
Madhya Pradesh,Khandwa
Madhya Pradesh,Khargone
Madhya Pradesh,Mandsaur
Madhya Pradesh,Morena
Madhya Pradesh,Other Region
Madhya Pradesh,Raisen
Madhya Pradesh,Ratlam
Madhya Pradesh,Sagar
Madhya Pradesh,Shajapur
Madhya Pradesh,Sheopur
Madhya Pradesh,Shivpuri
Madhya Pradesh,Tikamgarh
Madhya Pradesh,Ujjain
Madhya Pradesh,Vidisha
Mizoram,Aizawl
Odisha,Balasore
Odisha,Bhadrak
Odisha,Cuttack
Odisha,Dhenkanal
Odisha,Jajpur
Odisha,Kalahandi
Odisha,Kendrapara
Odisha,Khordha
Odisha,Puri
Odisha,Sundargarh
Punjab,Amritsar
Punjab,Barnala
Punjab,Faridkot
Punjab,Fatehgarh Sahib
Punjab,Ferozepur
Punjab,Gurdaspur
Punjab,Hoshiarpur
Punjab,Jalandhar
Punjab,Kapurthala
Punjab,Ludhiana
Punjab,Mansa
Punjab,Moga
Punjab,Pathankot
Punjab,Patiala
Punjab,Rupnagar
Punjab,S.A.S. Nagar
Punjab,Sangrur
Punjab,Shahid Bhagat Singh Nagar
Punjab,Sri Muktsar Sahib
Puducherry,Mahe
Puducherry,Puducherry
Rajasthan,Ajmer
Rajasthan,Alwar
Rajasthan,Banswara
Rajasthan,Barmer
Rajasthan,Bharatpur
Rajasthan,Bhilwara
Rajasthan,Bikaner
Rajasthan,Chittorgarh
Rajasthan,Churu
Rajasthan,Dausa
Rajasthan,Dholpur
Rajasthan,Dungarpur
Rajasthan,Evacuees
Rajasthan,Hanumangarh
Rajasthan,Italians
Rajasthan,Jaipur
Rajasthan,Jaisalmer
Rajasthan,Jhalawar
Rajasthan,Jhunjhunu
Rajasthan,Jodhpur
Rajasthan,Karauli
Rajasthan,Kota
Rajasthan,Nagaur
Rajasthan,Other State
Rajasthan,Pali
Rajasthan,Pratapgarh
Rajasthan,Rajsamand
Rajasthan,Sawai Madhopur
Rajasthan,Sikar
Rajasthan,Tonk
Rajasthan,Udaipur
Telangana,Unknown
Tamil Nadu,Ariyalur
Tamil Nadu,Chengalpattu
Tamil Nadu,Chennai
Tamil Nadu,Coimbatore
Tamil Nadu,Cuddalore
Tamil Nadu,Dharmapuri
Tamil Nadu,Dindigul
Tamil Nadu,Erode
Tamil Nadu,Kallakurichi
Tamil Nadu,Kancheepuram
Tamil Nadu,Kanyakumari
Tamil Nadu,Karur
Tamil Nadu,Madurai
Tamil Nadu,Nagapattinam
Tamil Nadu,Namakkal
Tamil Nadu,Nilgiris
Tamil Nadu,Perambalur
Tamil Nadu,Pudukkottai
Tamil Nadu,Ramanathapuram
Tamil Nadu,Ranipet
Tamil Nadu,Salem
Tamil Nadu,Sivaganga
Tamil Nadu,Tenkasi
Tamil Nadu,Thanjavur
Tamil Nadu,Theni
Tamil Nadu,Thiruvallur
Tamil Nadu,Thiruvarur
Tamil Nadu,Thoothukkudi
Tamil Nadu,Tiruchirappalli
Tamil Nadu,Tirunelveli
Tamil Nadu,Tirupathur
Tamil Nadu,Tiruppur
Tamil Nadu,Tiruvannamalai
Tamil Nadu,Unknown
Tamil Nadu,Vellore
Tamil Nadu,Viluppuram
Tamil Nadu,Virudhunagar
Tripura,Gomati
Tripura,North Tripura
Uttar Pradesh,Agra
Uttar Pradesh,Aligarh
Uttar Pradesh,Amroha
Uttar Pradesh,Auraiya
Uttar Pradesh,Ayodhya
Uttar Pradesh,Azamgarh
Uttar Pradesh,Baghpat
Uttar Pradesh,Bahraich
Uttar Pradesh,Balrampur
Uttar Pradesh,Banda
Uttar Pradesh,Barabanki
Uttar Pradesh,Bareilly
Uttar Pradesh,Basti
Uttar Pradesh,Bhadohi
Uttar Pradesh,Bijnor
Uttar Pradesh,Budaun
Uttar Pradesh,Bulandshahr
Uttar Pradesh,Etah
Uttar Pradesh,Etawah
Uttar Pradesh,Firozabad
Uttar Pradesh,Gautam Buddha Nagar
Uttar Pradesh,Ghaziabad
Uttar Pradesh,Ghazipur
Uttar Pradesh,Gonda
Uttar Pradesh,Hapur
Uttar Pradesh,Hardoi
Uttar Pradesh,Hathras
Uttar Pradesh,Jalaun
Uttar Pradesh,Jaunpur
Uttar Pradesh,Kannauj
Uttar Pradesh,Kanpur Nagar
Uttar Pradesh,Kasganj
Uttar Pradesh,Kaushambi
Uttar Pradesh,Lakhimpur Kheri
Uttar Pradesh,Lucknow
Uttar Pradesh,Maharajganj
Uttar Pradesh,Mainpuri
Uttar Pradesh,Mathura
Uttar Pradesh,Mau
Uttar Pradesh,Meerut
Uttar Pradesh,Mirzapur
Uttar Pradesh,Moradabad
Uttar Pradesh,Muzaffarnagar
Uttar Pradesh,Pilibhit
Uttar Pradesh,Pratapgarh
Uttar Pradesh,Prayagraj
Uttar Pradesh,Rae Bareli
Uttar Pradesh,Rampur
Uttar Pradesh,Saharanpur
Uttar Pradesh,Sambhal
Uttar Pradesh,Sant Kabir Nagar
Uttar Pradesh,Shahjahanpur
Uttar Pradesh,Shamli
Uttar Pradesh,Shrawasti
Uttar Pradesh,Sitapur
Uttar Pradesh,Sultanpur
Uttar Pradesh,Unnao
Uttar Pradesh,Varanasi
Uttarakhand,Almora
Uttarakhand,Dehradun
Uttarakhand,Haridwar
Uttarakhand,Nainital
Uttarakhand,Pauri Garhwal
Uttarakhand,Udham Singh Nagar
West Bengal,Darjeeling
West Bengal,Hooghly
West Bengal,Howrah
West Bengal,Jalpaiguri
West Bengal,Kalimpong
